kommune;indbyggertal;udg_pr_6_16;school_size;year;faktisk_perf;forventet_perf;borgmester_for;borgmester_efter;skift_borgm;parti_for;parti_efter;skift_parti;skift_blok
Mariagerfjord Kommune;42131;64653;407;2016;7.1;7;Mogens Jespersen;Mogens Jespersen;0;V;V;0;0
Jammerbugt Kommune;38466;60692;361;2016;7;6.8;Mogens Gade;Mogens Gade;0;V;V;0;0
Aalborg Kommune;210316;65850;369;2016;7.3;7.2;Thomas Larsen;Thomas Larsen;0;S;S;0;0
Hjørring Kommune;65411;58335;880;2016;6.9;6.8;Arne Boelt;Arne Boelt;0;S;S;0;0
Københavns Kommune;602481;67009;624;2017;6.9;7;Frank Jensen;Frank Jensen;0;S;S;0;0
Frederiksberg Kommune;105037;63991;719;2017;7.6;7.7;Jørgen Glenthøj;Jørgen Glenthøj;0;C;C;0;0
Ballerup Kommune;48231;75335;1022;2017;7;7.1;Jesper Würtzen;Jesper Würtzen;0;S;S;0;0
Brøndby Kommune;35594;78387;788;2017;6.1;6.3;Kent Max Magelund;Kent Max Magelund;0;S;S;0;0
Dragør Kommune;14288;65691;966;2017;7.7;7.9;Eik Dahl Bidstrup;Eik Dahl Bidstrup;0;V;V;0;0
Gentofte Kommune;75805;56815;663;2017;8.2;8.2;Hans Toft;Hans Toft;0;C;C;0;0
Gladsaxe Kommune;68775;67488;601;2017;7.3;7.3;Trine Græse;Trine Græse;0;S;S;0;0
Glostrup Kommune;22528;74427;2110;2017;6.8;6.8;John Engelhardt;John Engelhardt;0;V;V;0;0
Herlev Kommune;28406;70679;770;2017;6.5;6.7;Thomas Gyldal Petersen;Thomas Gyldal Petersen;0;S;S;0;0
Albertslund Kommune;27896;83456;661;2017;6.3;6.6;Steen Christiansen;Steen Christiansen;0;S;S;0;0
Hvidovre Kommune;52964;74218;629;2017;6.8;6.8;Helle Adelborg;Helle Adelborg;0;S;S;0;0
Høje-Taastrup Kommune;50246;73562;450;2017;6.5;6.5;Michael Ziegler;Michael Ziegler;0;C;C;0;0
Lyngby-Taarbæk Kommune;55240;63704;676;2017;8.5;8.3;Sofia Osmani;Sofia Osmani;0;C;C;0;0
Rødovre Kommune;38492;76625;470;2017;6.8;6.8;Erik Nielsen;Erik Nielsen;0;S;S;0;0
Ishøj Kommune;22719;82063;419;2017;6;6.2;Ole Bjørstorp;Ole Bjørstorp;0;S;S;0;0
Tårnby Kommune;43010;68811;613;2017;7;6.9;Henrik Zimino;Allan Andersen;1;S;S;0;0
Vallensbæk Kommune;15705;67352;679;2017;6.9;7;Henrik Rasmussen;Henrik Rasmussen;0;C;C;0;0
Furesø Kommune;40613;68966;596;2017;8.1;7.9;Ole Christensen;Ole Christensen;0;S;S;0;0
Allerød Kommune;24942;68030;810;2017;8;8.1;Jørgen Johansen;Karsten Längerich;1;C;V;1;0
