;year;kommune;perc_change;forandr;reference;faktisk_perf;forventet_perf;indbyggertal;exp;borgmesterskift;partiskift;social;newyear;perc_change_sd
341;2016;Ishøj Kommune;0,001725162;45;-0,3;5,5;5,8;22358;80386;0;0;80;01-01-2016;1,355928704
342;2016;Lolland Kommune;0,002700867;58;-0,3;5,8;6,1;42638;68688;0;0;81;01-01-2016;2,122805704
343;2016;Vordingborg Kommune;0,002679989;139;-0,3;6,3;6,6;45806;62237;1;1;82;01-01-2016;2,106396477
344;2017;Albertslund Kommune;0,003443111;62;-0,3;6,3;6,6;27896;83456;0;0;84;01-01-2017;2,706189031
345;2017;Guldborgsund Kommune;0,002512369;89;-0,3;6,2;6,5;61257;62918;0;0;85;01-01-2017;1,974651646
346;2017;Holbæk Kommune;0,003627755;115;-0,3;6,4;6,7;70950;57782;1;1;86;01-01-2017;2,851313929
347;2018;Lolland Kommune;0,001992427;72;-0,3;5,7;6;41982;71434;0;0;89;01-01-2018;1,565991772
348;2018;Stevns Kommune;0,004102323;121;-0,3;6,4;6,7;22727;57470;1;1;90;01-01-2018;3,224310747
349;2018;Vordingborg Kommune;0,002018148;86;-0,3;6,4;6,7;46087;63811;1;1;91;01-01-2018;1,586207478
350;2019;Brøndby Kommune;0,000863558;1;-0,3;5,8;6,1;35397;82036;0;0;91;01-01-2019;0,678732273
351;2019;Faxe Kommune;0,002535738;14;-0,3;6,4;6,7;36513;63146;0;0;92;01-01-2019;1,993019227
352;2019;Greve Kommune;0,003663521;55;-0,3;6,9;7,2;50267;66126;0;0;93;01-01-2019;2,879425015
353;2019;Halsnæs Kommune;0,004069195;35;-0,3;6,3;6,6;31271;85919;1;1;94;01-01-2019;3,198273055
354;2019;Helsingør Kommune;0,00266961;89;-0,3;7;7,3;62567;74926;0;0;95;01-01-2019;2,098238416
355;2019;Kalundborg Kommune;0,002254711;43;-0,3;6;6,3;48681;73322;0;0;96;01-01-2019;1,772139689
356;2017;Helsingør Kommune;0,001944577;174;-0,3;7,1;7,4;62443;71916;0;0;87;01-01-2017;1,528383179
357;2017;Langeland Kommune;0,001571212;45;-0,3;6,1;6,4;12578;91634;1;1;88;01-01-2017;1,234928611
358;2018;Albertslund Kommune;0,002237395;54;-0,3;6,1;6,4;27743;83716;0;0;92;01-01-2018;1,758529979
359;2017;Lolland Kommune;0;0;-0,4;5,7;6,1;42285;67930;0;0;89;01-01-2017;0
360;2018;Langeland Kommune;0,001453198;48;-0,4;5,9;6,3;12641;96887;1;1;93;01-01-2018;1,142172662
361;2016;Gribskov Kommune;0,002176454;157;-0,4;6,6;7;41107;61034;1;1;83;01-01-2016;1,710632184
362;2016;Sorø Kommune;0,003516552;144;-0,4;6,5;6,9;29543;60955;0;0;84;01-01-2016;2,763911296
363;2018;Fanø Kommune;0,001239359;27;-0,4;6,3;6,7;3401;69491;1;1;94;01-01-2018;0,974101329
364;2016;Samsø Kommune;0,001919569;101;-0,5;5,4;5,9;3710;74411;0;0;85;01-01-2016;1,508727659
365;2017;Vordingborg Kommune;0,001717379;102;-0,5;6,1;6,6;46037;62062;1;1;90;01-01-2017;1,349811734
366;2018;Glostrup Kommune;0,003626925;155;-0,5;6,3;6,8;22663;75819;0;0;95;01-01-2018;2,85066139
367;2018;Kalundborg Kommune;0,003215198;163;-0,5;6;6,5;48982;69771;0;0;96;01-01-2018;2,527055464
368;2018;Morsø Kommune;0,002137305;88;-0,5;6,1;6,6;20514;68923;0;0;97;01-01-2018;1,679862148
369;2019;Vordingborg Kommune;0,001708676;32;-0,5;5,9;6,4;45816;67347;1;1;97;01-01-2019;1,342971705
